,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
46,0EdB37mWWaLyqJPcblJkaD,Craig Morgan,Paradise,Craig Morgan,False,26,0.576,0.356,4,-8.767,1,0.0307,0.321,0.0,0.0693,0.515,76.724,audio_features,spotify:track:0EdB37mWWaLyqJPcblJkaD,https://api.spotify.com/v1/tracks/0EdB37mWWaLyqJPcblJkaD,https://api.spotify.com/v1/audio-analysis/0EdB37mWWaLyqJPcblJkaD,3.6051166666666665,5
47,4eIxDfuDFtxDP02gDEW8Hg,"EP Collection, Vol. 1 & 2",Give,Cranes,False,12,0.368,0.945,10,-8.794,0,0.0493,0.0542,0.0896,0.356,0.221,112.404,audio_features,spotify:track:4eIxDfuDFtxDP02gDEW8Hg,https://api.spotify.com/v1/tracks/4eIxDfuDFtxDP02gDEW8Hg,https://api.spotify.com/v1/audio-analysis/4eIxDfuDFtxDP02gDEW8Hg,3.1011166666666665,4
48,3Mp4lDIGyCBVWDSF6ALaEd,Forever (Expanded Edition),Jewel,Cranes,False,45,0.707,0.658,3,-13.442,0,0.0296,0.19,0.543,0.0908,0.955,117.73,audio_features,spotify:track:3Mp4lDIGyCBVWDSF6ALaEd,https://api.spotify.com/v1/tracks/3Mp4lDIGyCBVWDSF6ALaEd,https://api.spotify.com/v1/audio-analysis/3Mp4lDIGyCBVWDSF6ALaEd,3.0871166666666667,4
49,4McI0VWemJkxUzapU1PK79,The Doctor Is In,Love Bowl,crash,False,0,0.424,0.69,10,-11.008,0,0.0812,0.298,0.718,0.678,0.769,134.394,audio_features,spotify:track:4McI0VWemJkxUzapU1PK79,https://api.spotify.com/v1/tracks/4McI0VWemJkxUzapU1PK79,https://api.spotify.com/v1/audio-analysis/4McI0VWemJkxUzapU1PK79,12.034883333333333,4
50,31v2AQlx4pDI7kmnLxBkem,God Shuffled His Feet,Mmm Mmm Mmm Mmm,Crash Test Dummies,False,69,0.58,0.575,3,-7.72,1,0.0231,0.25,1.83e-05,0.0813,0.37,92.934,audio_features,spotify:track:31v2AQlx4pDI7kmnLxBkem,https://api.spotify.com/v1/tracks/31v2AQlx4pDI7kmnLxBkem,https://api.spotify.com/v1/audio-analysis/31v2AQlx4pDI7kmnLxBkem,3.91955,4
51,4PYeeA84t4y9wl7JrueV58,A Worm's Life,My Enemies,Crash Test Dummies,False,16,0.664,0.817,10,-4.871,0,0.0284,0.00203,0.00258,0.0436,0.849,120.656,audio_features,spotify:track:4PYeeA84t4y9wl7JrueV58,https://api.spotify.com/v1/tracks/4PYeeA84t4y9wl7JrueV58,https://api.spotify.com/v1/audio-analysis/4PYeeA84t4y9wl7JrueV58,3.236,4
52,5XFhuEs3JhDSuWpnYHvQJh,Best of Crazy Hits,Jump,Crazy Frog,False,39,0.765,0.972,0,-4.352,1,0.0587,0.177,0.00123,0.125,0.926,134.88,audio_features,spotify:track:5XFhuEs3JhDSuWpnYHvQJh,https://api.spotify.com/v1/tracks/5XFhuEs3JhDSuWpnYHvQJh,https://api.spotify.com/v1/audio-analysis/5XFhuEs3JhDSuWpnYHvQJh,3.0037,4
53,6etscWUdEi5tKatGEJxiWA,Best of Crazy Hits,Come On,Crazy Frog,False,20,0.727,0.94,5,-4.387,0,0.0362,0.182,0.0227,0.108,0.97,142.01,audio_features,spotify:track:6etscWUdEi5tKatGEJxiWA,https://api.spotify.com/v1/tracks/6etscWUdEi5tKatGEJxiWA,https://api.spotify.com/v1/audio-analysis/6etscWUdEi5tKatGEJxiWA,2.8459666666666665,4
54,4BggEwLhGfrbrl7JBhC8EC,The Gift Of Game,Butterfly,Crazy Town,False,75,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,audio_features,spotify:track:4BggEwLhGfrbrl7JBhC8EC,https://api.spotify.com/v1/tracks/4BggEwLhGfrbrl7JBhC8EC,https://api.spotify.com/v1/audio-analysis/4BggEwLhGfrbrl7JBhC8EC,3.612216666666667,4
55,6pWfSngATxH5jhspudBbDv,The Gift Of Game,Darkside,Crazy Town,False,38,0.733,0.817,8,-3.541,0,0.0506,0.00742,0.0,0.0766,0.604,110.988,audio_features,spotify:track:6pWfSngATxH5jhspudBbDv,https://api.spotify.com/v1/tracks/6pWfSngATxH5jhspudBbDv,https://api.spotify.com/v1/audio-analysis/6pWfSngATxH5jhspudBbDv,3.8806666666666665,4
